procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2486860 117272 1247988    0    0     1     9    3     0 10  1 88  0
 1  0    144 2486780 117272 1247988    0    0     0     0 1153  2676 24  1 75  0
 1  0    144 2486780 117272 1247988    0    0     0    56 1167  2716 24  1 75  0
 1  0    144 2486716 117272 1247988    0    0     0     0 1151  2730 24  1 75  0
 1  0    144 2483724 117272 1247988    0    0     0     0 1165  2916 24  1 75  0
 1  0    144 2485452 117272 1247988    0    0     0    16 1162  2939 24  1 75  0
 1  0    144 2486532 117272 1247988    0    0     0     0 1160  3790 24  1 75  0
 1  0    144 2486852 117272 1247988    0    0     0    36 1155  3739 24  2 75  0
 1  0    144 2486860 117272 1247988    0    0     0     0 1157  3322 24  1 75  0
 1  0    144 2487500 117272 1247988    0    0     0     0 1165  2854 24  1 74  0
 1  0    144 2487372 117272 1247988    0    0     0    16 1155  2736 24  1 75  0
 1  0    144 2487428 117272 1247988    0    0     0     0 1152  3499 24  1 75  0
 1  0    144 2487492 117272 1247988    0    0     0    36 1163  2927 24  1 75  0
 1  0    144 2487684 117272 1247988    0    0     0     0 1161  3382 24  1 75  0
 1  0    144 2487820 117272 1247988    0    0     0     0 1164  2849 24  1 75  0
 1  0    144 2487628 117272 1247988    0    0     0    66 1169  3255 24  1 75  0
 1  0    144 2487620 117272 1247988    0    0     0     0 1151  2890 24  1 75  0
 1  0    144 2487684 117272 1247988    0    0     0    30 1160  2905 24  1 75  0
 1  0    144 2488652 117272 1247988    0    0     0     0 1151  3628 24  1 75  0
 1  0    144 2485196 117272 1247988    0    0     0     0 1161  2784 24  1 75  0
 1  0    144 2486732 117272 1247988    0    0     0    16 1155  3430 24  1 75  0
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2487812 117272 1247988    0    0     0     0 1164  4003 24  2 75  0
 1  0    144 2488068 117272 1247988    0    0     0    36 1156  3935 24  1 75  0
 1  0    144 2488132 117272 1247988    0    0     0     0 1161  3236 24  1 75  0
 1  0    144 2487116 117272 1247988    0    0     0     0 1163  2469 24  1 75  0
 1  0    144 2487116 117272 1247988    0    0     0    16 1156  3315 24  1 75  0
 1  0    144 2487100 117272 1247988    0    0     0     0 1150  3904 24  1 75  0
 1  0    144 2487100 117272 1247988    0    0     0    36 1161  3178 24  1 75  0
 1  0    144 2487244 117272 1247988    0    0     0     2 1161  3653 24  1 75  0
 1  0    144 2487692 117272 1247988    0    0     0     0 1194  2719 24  1 75  0
Mon Aug 18 14:54:08 PDT 2008
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2487756 117272 1247988    0    0     1     9    3     0 10  1 88  0
 1  0    144 2487884 117272 1247988    0    0     0    36 1156  3590 24  1 74  0
 1  0    144 2488964 117272 1247988    0    0     0     0 1152  3600 24  1 75  0
 1  0    144 2489348 117272 1247988    0    0     0    28 1165  4103 24  1 75  0
 1  0    144 2489348 117272 1247988    0    0     0    36 1159  3710 24  1 75  0
 1  0    144 2487244 117272 1247988    0    0     0     0 1160  3179 24  1 75  0
 1  0    144 2487756 117272 1247988    0    0     0    24 1158  2972 24  1 75  0
 1  0    144 2488452 117272 1247988    0    0     0     0 1171  4014 24  1 75  0
 1  0    144 2489028 117272 1247988    0    0     0    40 1162  3347 24  1 75  0
 1  0    144 2490124 117272 1247988    0    0     0     0 1162  3919 24  2 75  0
 1  0    144 2487244 117272 1247988    0    0     0     0 1159  2781 24  1 75  0
 1  0    144 2488140 117272 1247988    0    0     0    16 1202  3611 24  1 75  0
 1  0    144 2489028 117272 1247988    0    0     0     0 1161  3574 24  1 75  0
 1  0    144 2489284 117272 1247988    0    0     0    28 1157  3664 24  1 75  0
 1  0    144 2489476 117272 1247988    0    0     0     0 1161  3819 24  2 75  0
 1  0    144 2488972 117272 1247988    0    0     0     0 1161  3305 24  1 75  0
 1  0    144 2489420 117272 1247988    0    0     0    16 1157  3296 24  1 75  0
 1  0    144 2490436 117272 1247988    0    0     0     0 1152  3243 24  1 75  0
 1  0    144 2491524 117272 1247988    0    0     0    38 1159  3973 24  1 75  0
 1  0    144 2491788 117272 1247988    0    0     0     0 1160  3380 24  1 75  0
 1  0    144 2489036 117272 1247988    0    0     0     0 1158  3437 24  1 74  0
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2489228 117272 1247988    0    0     0    40 1165  3181 24  1 75  0
 1  0    144 2489404 117272 1247988    0    0     0     0 1167  3802 24  1 75  0
 1  0    144 2490044 117272 1247988    0    0     0    36 1153  3638 24  1 75  0
 1  0    144 2490108 117272 1247988    0    0     0     0 1162  3643 24  1 75  0
 1  0    144 2488396 117272 1247988    0    0     0     0 1157  2789 24  1 75  0
 1  0    144 2488396 117272 1247988    0    0     0    24 1162  3001 24  1 75  0
 1  0    144 2488388 117272 1247988    0    0     0     0 1154  3439 24  1 75  0
 1  0    144 2488388 117272 1247988    0    0     0    30 1162  3314 24  1 75  0
 1  0    144 2488332 117272 1247988    0    0     0     0 1161  3766 25  1 75  0
Mon Aug 18 14:55:06 PDT 2008
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0    144 2488396 117272 1247988    0    0     1     9    3     1 10  1 88  0
 1  0    144 2486348 117272 1247988    0    0     0     0 1302  3074 24  1 75  0
 1  0    144 2486220 117272 1247988    0    0     0    36 1159  3307 24  1 75  0
 1  0    144 2486596 117272 1247988    0    0     0     0 1157  3250 24  1 75  0
 1  0    144 2486596 117272 1247988    0    0     0    36 1158  2650 24  1 75  0
